title, alternative_title, certification, country, production_year, language, subtitle_language, length,	print_source, url
"Red White & Blue",NULL,"CFF-18","United States","2011","English",NULL,"103","Trinity Films","http://www.cambridgefilmfestival.org.uk/films/2011/red-white-blue/"
"Short Fusion: Wrong Place, Wrong Time",NULL,"CFF-15","Germany; UK; France; USA; Australia; France/Germany","2011","English, German, French","English","93",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/short-fusion-wrong-place-wrong-time/"
"Troubadours",NULL,"CFF-12A","United States","2011",,,"91",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/troubadours/"
"Ispansi (Spaniards)",NULL,"CFF-15","Spain/Germany","2010","Spanish, German, Russian","English","100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/ispansi-spaniards/"
"New Croatian Animation 2010-11",NULL,"CFF-15","Croatia","2011","Croatian","English","69","Various","http://www.cambridgefilmfestival.org.uk/films/2011/new-croatian-animation-2010-11/"
"The Show Must Go On",NULL,"CFF-15","Croatia","2010","Croatian","English","80",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-show-must-go-on/"
"Citizen Kane",NULL,"U","United States","1941","English",NULL,"119","BFI","http://www.cambridgefilmfestival.org.uk/films/2011/citizen-kane/"
"Guilty of Romance",NULL,"18","Japan","2011","Japanese","English","112","Eureka!","http://www.cambridgefilmfestival.org.uk/films/2011/guilty-of-romance/"
"The Look",NULL,"CFF-15","France","2011",", ","English","94",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-look/"
"The Silence",NULL,"CFF-18","Germany","2010","German","English","119","Soda Pictures","http://www.cambridgefilmfestival.org.uk/films/2011/the-silence/"
"Tirza",NULL,"CFF-15","Netherlands","2010","Dutch","English","100","Fuworks","http://www.cambridgefilmfestival.org.uk/films/2011/tirza/"
"The Pointsman",NULL,"CFF-15","Netherlands","1986","Dutch","English","96",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-pointsman/"
"Short Fusion: Wounds and Scars",NULL,"CFF-15","Israel; Mexico; Canada; Korea; Germany; UK","2011","English, Spanish, Korean, German","English","91",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/short-fusion-wounds-and-scars/"
"Britain Through a Lens & Humphrey Jennings",NULL,"U","United Kingdom","2011","English",NULL,"80","Lambent Productions","http://www.cambridgefilmfestival.org.uk/films/2011/britain-through-a-lens-plus-short/"
"Bernard Herrmann: Knowing the Score",NULL,"CFF-15","United Kingdom","2011","English",NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/bernard-herrmann-knowing-the-score/"
"Tyrannosaur",NULL,"18","United Kingdom","2010","English",NULL,"92",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/tyrannosaur/"
"Cartography of Loneliness & Charcoal Burners",NULL,"CFF-U","Spain; Poland","2011","Hindi, Nepali, Dari; Polish","English","83","nocemcollado@gmail.com; Polish National Film School","http://www.cambridgefilmfestival.org.uk/films/2011/cartography-of-loneliness-plus-short/"
"EM Media Digital Shorts 2",NULL,"CFF-15","United Kingdom","2011","English",NULL,"77","EM Media","http://www.cambridgefilmfestival.org.uk/films/2011/em-media-digital-shorts-2/"
"Under Control",NULL,"CFF-15","Germany","2011","German, English","English","98",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/under-control/"
"Funny Games",NULL,"18","Austria","1997","German, French","English","109","Tartan Films","http://www.cambridgefilmfestival.org.uk/films/2011/funny-games/"
"Age of Champions plus Water Lilies in Bloom","Vannlijer i Blomst","CFF-PG","United States","2000","English; Norwegian","English","86","Documentary Foundation","http://www.cambridgefilmfestival.org.uk/films/2011/age-of-champions/"
"The Gerber Syndrome",NULL,"CFF-15","Italy","2011","Italian","English","88",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-gerber-syndrome/"
"The Gruffalo",NULL,"U","United Kingdom","2009","English",NULL,"27",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-gruffalo1/"
"Duska",NULL,"CFF-15","Netherlands","2007","Dutch, Russian","English","110","StellingFilms","http://www.cambridgefilmfestival.org.uk/films/2011/duska/"
"The Yellow Sea",NULL,"18","Korea (South)","2010","English","English","140",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-yellow-sea/"
"Eggs For Later/Leap Before You Look/Boffin & Boffin",NULL,"CFF-12A","Netherlands","2011","Dutch; English, French; English","English","87","Trueworks; Catharsis Media; edblythe@gmail.com","http://www.cambridgefilmfestival.org.uk/films/2011/eggs-for-later-el-voor-later-plus-shorts/"
